Temp,Humd,Label
24,20,1
24,20,1
24,20,1
24,20,1
24,20,1
24,20,1
24,21,1
24,22,1
24,22,1
24,23,1
24,23,1
24,23,1
24,24,1
24,24,1
24,28,1
24,29,1
24,29,1
24,30,1
24,30,1
24,31,1
24,31,1
24,32,1
24,33,1
25,33,1
25,33,1
25,34,1
25,34,1
25,34,1
25,35,1
25,35,1
25,36,1
26,36,1
26,37,1
26,39,1
26,39,1
26,39,1
26,40,1
27,41,1
27,41,1
27,42,1
27,42,1
27,43,1
27,43,1
27,43,1
27,44,1
27,44,1
27,44,1
28,44,1
28,44,1
28,45,1
28,47,1
28,47,1
28,48,1
28,48,1
28,49,1
28,49,1
28,49,1
28,50,1
28,50,1
29,50,1
29,51,1
29,51,1
29,51,1
29,51,1
29,52,1
29,52,1
29,52,1
29,52,1
29,52,1
29,52,1
29,52,1
29,52,1
29,52,1
29,52,1
29,52,1
30,52,1
30,52,1
30,52,1
30,52,1
30,52,1
30,52,1
30,49,1
30,48,1
30,47,1
30,46,1
30,45,1
30,44,1
30,43,1
30,42,1
30,42,1
30,41,1
30,41,1
30,40,1
30,39,1
30,38,1
30,37,1
30,37,1
30,37,1
30,36,1
30,36,1
30,35,1
30,35,1
30,35,1
30,34,1
30,34,1
30,33,1
30,33,1
30,32,1
30,32,1
30,32,1
30,31,1
30,31,1
30,30,1
30,29,1
30,29,1
30,29,1
30,28,1
30,28,1
30,28,1
30,28,1
30,27,1
30,27,1
30,27,1
30,27,1
30,26,1
29,26,1
29,26,1
29,25,1
29,25,1
29,24,1
29,24,1
29,23,1
29,23,1
29,23,1
29,23,1
29,23,1
29,23,1
29,22,1
29,22,1
29,22,1
29,22,1
29,22,1
29,22,1
29,22,1
29,22,1
28,22,1
28,22,1
28,22,1
28,21,1
28,21,1
28,21,1
28,21,1
28,20,1
28,20,1
28,20,1
28,20,1
28,20,1
28,19,1
28,19,1
28,19,1
28,19,1
28,19,1
28,19,1
28,19,1
28,19,1
28,19,1
28,19,1
28,19,1
28,19,1
28,19,1
28,19,1
28,19,1
28,19,1
28,19,1
28,19,1
28,19,1
28,19,1
28,19,1
28,19,1
28,19,1
28,19,1
28,19,1
28,19,1
28,19,1
28,19,1
28,19,1
27,23,1
27,23,1
27,23,1
27,23,1
27,23,1
27,23,1
27,23,1
27,23,1
27,23,1
27,24,1
27,25,1
27,26,1
27,27,1
27,29,1
27,28,1
27,28,1
27,27,1
27,28,1
27,29,1
27,30,1
27,31,1
27,33,1
27,34,1
27,34,1
27,35,1
27,36,1
27,36,1
27,35,1
27,35,1
27,34,1
27,34,1
27,34,1
27,34,1
27,33,1
27,33,1
27,33,1
27,33,1
27,32,1
27,32,1
27,32,1
27,31,1
27,31,1
27,31,1
27,31,1
27,30,1
27,30,1
27,30,1
27,29,1
27,29,1
27,28,1
27,28,1
27,28,1
27,28,1
27,28,1
27,27,1
27,27,1
27,27,1
27,26,1
27,26,1
27,26,1
27,26,1
27,26,1
27,26,1
27,26,1
27,25,1
27,25,1
27,24,1
27,24,1
27,24,1
27,24,1
27,24,1
27,24,1
27,24,1
27,24,1
27,24,1
26,23,1
26,23,1
26,23,1
26,23,1
26,23,1
26,23,1
26,23,1
26,23,1
26,24,1
26,26,1
26,29,1
26,37,1
26,38,1
26,39,1
26,40,1
26,42,1
26,43,1
26,44,1
26,45,1
26,46,1
26,47,1
27,48,1
27,49,1
27,50,1
27,51,1
27,53,1
27,53,1
27,54,1
27,55,1
27,59,1
27,59,1
27,60,1
27,61,1
27,60,1
27,59,1
27,59,1
27,58,1
27,57,1
27,55,1
27,50,1
27,49,1
27,49,1
27,45,1
27,44,1
27,44,1
27,43,1
27,43,1
27,42,1
27,42,1
27,41,1
27,41,1
27,40,1
27,39,1
27,39,1
27,39,1
27,38,1
27,37,1
27,36,1
27,36,1
27,36,1
27,35,1
27,35,1
27,34,1
27,34,1
27,34,1
27,34,1
27,34,1
27,33,1
27,32,1
27,32,1
27,32,1
27,32,1
27,31,1
27,32,1
27,41,1
27,44,1
27,44,1
28,44,1
28,45,1
28,45,1
28,46,1
28,46,1
28,47,1
28,48,1
28,48,1
28,49,1
29,43,1
29,42,1
29,42,1
29,41,1
29,40,1
29,38,1
29,35,1
29,35,1
29,35,1
29,34,1
29,34,1
29,33,1
29,33,1
29,33,1
29,31,1
29,31,1
29,31,1
29,30,1
29,30,1
29,30,1
29,30,1
29,29,1
29,29,1
29,29,1
29,27,1
29,26,1
29,26,1
29,26,1
29,25,1
29,25,1
29,25,1
29,25,1
29,25,1
29,24,1
29,24,1
28,23,1
28,23,1
28,22,1
28,20,1
28,20,1
28,20,1
28,19,1
28,19,1
28,19,1
28,19,1
27,20,1
27,20,1
27,20,1
27,20,1
27,20,1
27,20,1
27,19,1
27,20,1
27,20,1
27,19,1
27,19,1
27,19,1
27,19,1
27,19,1
27,19,1
27,19,1
27,19,1
27,19,1
27,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
26,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
25,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
24,19,1
